epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,13052.1,3.22872,2.2337,1.82337,0.44415,0.34685,0.33684,0.19912,3.09338,2.20661,1.80831,9.90318e-05,9.90318e-05,9.90318e-05
89,13201,3.24504,2.22839,1.82049,0.45033,0.34414,0.33641,0.19778,3.09342,2.20947,1.80819,9.19632e-05,9.19632e-05,9.19632e-05
90,13349.7,3.22843,2.22668,1.81714,0.44327,0.34403,0.33542,0.19788,3.09395,2.20841,1.808,8.48946e-05,8.48946e-05,8.48946e-05
91,13490.3,3.15774,2.17276,1.8218,0.43866,0.34304,0.33173,0.19452,3.11829,2.22952,1.81349,7.7826e-05,7.7826e-05,7.7826e-05
92,13628.9,3.1301,2.13777,1.8176,0.43838,0.3414,0.33113,0.19411,3.11941,2.23456,1.81287,7.07574e-05,7.07574e-05,7.07574e-05
93,13767.7,3.11735,2.13371,1.81733,0.44719,0.33956,0.33097,0.19457,3.115,2.23028,1.81194,6.36888e-05,6.36888e-05,6.36888e-05
94,13906.7,3.11136,2.12113,1.81375,0.44145,0.34174,0.33122,0.19479,3.11283,2.22988,1.81143,5.66202e-05,5.66202e-05,5.66202e-05
95,14044.9,3.10535,2.11703,1.81085,0.43751,0.34253,0.33234,0.19568,3.1125,2.22709,1.81137,4.95516e-05,4.95516e-05,4.95516e-05
96,14183.1,3.10409,2.11271,1.81271,0.43996,0.34191,0.33267,0.19545,3.11041,2.22804,1.81092,4.2483e-05,4.2483e-05,4.2483e-05
97,14320.6,3.10031,2.10316,1.81262,0.44217,0.34104,0.33247,0.1954,3.10933,2.22705,1.8112,3.54144e-05,3.54144e-05,3.54144e-05
98,14458,3.09348,2.09638,1.80848,0.43924,0.34032,0.33303,0.19601,3.1076,2.22676,1.81084,2.83458e-05,2.83458e-05,2.83458e-05
99,14594.9,3.08944,2.09228,1.80764,0.44425,0.34055,0.3331,0.19585,3.10921,2.22835,1.81049,2.12772e-05,2.12772e-05,2.12772e-05
100,14733.1,3.09028,2.09468,1.80967,0.44129,0.34292,0.33332,0.19611,3.10962,2.22769,1.8107,1.42086e-05,1.42086e-05,1.42086e-05
